answer,clue 1,clue 2,clue 3,clue 4,clue 5
ABANDONED SHIP,Route 108 wreck in Hoenn,Hoenn shipwreck,Hides the Scanner,Partly reached by Dive,Supplanted by Sea Mauville
ABILITY PATCH,Unlocks a hidden trait,Turns a standard trait rare,Makes a regular trait rarer,Only for species with hidden traits,
ABILITY SHIELD,Holder keeps its trait,Blocks trait tampering,Suppression-proof held item,,
ABILITY URGE,Miracle Shooter item,Wonder Launcher item,Launcher-only battle item,Forcibly triggers an ally's Ability,Ally Ability activator
ABOMASITE,Abomasnow Mega stone,Mega Evolution stone,Held stone for Abomasnow,Held Mega stone,Mega trigger stone
ABOMASNOW,Frost Tree Pokemon,Gen IV Grass/Ice species,Evolves from Snover,Mega-evolving species,Monster egg-group species
ABRA,Psi Pokemon,Gen I Psychic species,Humanshape egg-group species,,
ABSOL,Disaster Pokemon,Gen III Dark species,Ground egg-group species,,
ABSOLITE,Safari Zone catcher,Great Marsh capture tool,Absol Mega stone,Mega Evolution stone,Held stone for Absol
ABSORB,Self-healing move,Grass special move,Gen I Grass move,20-power move,draining move
ABSORB BULB,Boosts Special Attack after it takes water-type damage,Special Attack boost on trigger,,,
ABYSSAL RUINS,Partly reached by Dive,Dive-only landmark,Unova town,Bay-side landmark,Unova landmark
ACCELEROCK,Rock physical move,Gen VII Rock move,40-power move,priority move,
ACCELGOR,Shell Out Pokemon,Gen V Bug species,Evolves from Shelmet,Bug egg-group species,
ACCUMULA,Unova town,Unova landmark,Town-side landmark,Town in Unova,
ACCUMULA GATE,Unova route connector,Unova landmark,Connector gate in Unova,,
ACID,Poison special move,Gen I Poison move,40-power move,debuffing move,poisoning move
ACID ARMOR,Poison status move,Gen I Poison move,boosting move,,
ACID SPRAY,Poison special move,Gen V Poison move,40-power move,debuffing move,poisoning move
ACROBATICS,Flying physical move,Gen V Flying move,55-power move,,
ACRO BIKE,Safari Zone catcher,Great Marsh capture tool,Unlocks progression content,Two-wheeled travel item,Progress-gating key item
ACUITY CAVERN,Sinnoh cave,Cave in Sinnoh,Sinnoh landmark,,
ACUPRESSURE,Normal status move,Gen IV Normal move,boosting move,,
ADAMANT ORB,Dragon- And Steel-Type Moves Power boost item,Boosts Dragon/Steel moves for Dialga,,,
ADAPTABILITY,Boosts same-type attacks,Stronger matching-move trait,Enhanced STAB trait,,
ADRENALINE ORB,Power item for Times,Times-only held item,Species-linked power item,Signature battle item,
AEGISLASH,Royal Sword Pokemon,Gen VI Steel/Ghost species,Evolves from Doublade,Mineral egg-group species,
AERIAL ACE,Flying physical move,Gen III Flying move,60-power move,,
AERILATE,Turns Normal moves Flying,Aerial move-converting trait,Flying-boosting move trait,Weather-linked trait,
AEROBLAST,Flying special move,critical-hit move,Gen II Flying move,100-power move,
