answer,current_clue,source_type,source_id,canonical_slug,source_ref,evidence_page_url,approved_count,fallback_used,rejected_candidates,rejected_reason_codes,manual_clue,reason_codes,reason_details,status
ACADEMY BOTTLE,Picnic item,item,2016,,https://pokeapi.co/api/v2/item/2016/,https://bulbapedia.bulbagarden.net/wiki/Academy_Bottle,2,false,,,,needs_more_crossword_clues|duplicate_surface|needs_more_crossword_clues,"needs_more_crossword_clues, duplicate_surface, needs_more_crossword_clues",needs_review
ACADEMY CUP,School-issued picnic gear,item,2021,,https://pokeapi.co/api/v2/item/2021/,https://bulbapedia.bulbagarden.net/wiki/Academy_Cup,2,false,Academy standard-issue gear,answer_fragment_leak,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
AGUAV BERRY,Berry that may confuse,item,139,,https://pokeapi.co/api/v2/item/139/,https://bulbapedia.bulbagarden.net/wiki/Aguav_Berry,5,false,Held battle item,pruned_generic_fallback,,editorial_seed_used,editorial_seed_used,approved
AIPOM HILL,Bay-side landmark,location,952,,https://pokeapi.co/api/v2/location/952/,https://bulbapedia.bulbagarden.net/wiki/Aipom_Hill,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
AKALA MEADOW,Alola landmark,location,739,,https://pokeapi.co/api/v2/location/739/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
AMBRETTE GATE,Kalos landmark,location,664,,https://pokeapi.co/api/v2/location/664/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ANCIENT QUARRY,Hisui landmark,location,953,,https://pokeapi.co/api/v2/location/953/,https://bulbapedia.bulbagarden.net/wiki/Ancient_Quarry,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ANGER SHELL,boosting trait,ability,271,,https://pokeapi.co/api/v2/ability/271/,https://bulbapedia.bulbagarden.net/wiki/Anger_Shell_(Ability),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ANISTAR GATE,Kalos landmark,location,669,,https://pokeapi.co/api/v2/location/669/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ANTIDOTE,Safari Zone catcher,item,18,,https://pokeapi.co/api/v2/item/18/,https://bulbapedia.bulbagarden.net/wiki/Antidote,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
APPLE HILLS,Paldea landmark,location,1058,,https://pokeapi.co/api/v2/location/1058/,https://bulbapedia.bulbagarden.net/wiki/Apple_Hills,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
AQUA BOOST,Water-Boosting trait,ability,10055,,https://pokeapi.co/api/v2/ability/10055/,,3,false,,,,duplicate_surface,duplicate_surface,needs_review
ARMORITE ORE,Collectible Galar ore,item,1639,,https://pokeapi.co/api/v2/item/1639/,https://bulbapedia.bulbagarden.net/wiki/Armorite_Ore,6,false,,,,editorial_seed_used,editorial_seed_used,approved
AROMATHERAPY,Grass status move,move,312,,https://pokeapi.co/api/v2/move/312/,https://bulbapedia.bulbagarden.net/wiki/Aromatherapy_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ASSIST,Normal status move,move,274,,https://pokeapi.co/api/v2/move/274/,https://bulbapedia.bulbagarden.net/wiki/Assist,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ATTRACT,Normal status move,move,213,,https://pokeapi.co/api/v2/move/213/,https://bulbapedia.bulbagarden.net/wiki/Attract_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
AURA BREAK,Reverses dark and fairy auras,ability,188,,https://pokeapi.co/api/v2/ability/188/,https://bulbapedia.bulbagarden.net/wiki/Aura_Break_(Ability),1,false,Turns aura boosts into penalties || Aura-flipping trait,answer_fragment_leak || answer_fragment_leak,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
AURORA VEIL,Ice status move,move,694,,https://pokeapi.co/api/v2/move/694/,https://bulbapedia.bulbagarden.net/wiki/Aurora_Veil_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
AUTOGRAPH,Gen VII unused,item,1006,,https://pokeapi.co/api/v2/item/1006/,https://bulbapedia.bulbagarden.net/wiki/Autograph,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
AVOCADO,Berry-blending ingredient,item,1734,,https://pokeapi.co/api/v2/item/1734/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
AXEWS EYE,Galar landmark,location,878,,https://pokeapi.co/api/v2/location/878/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BACHS FOOD TIN,Berry-blending ingredient,item,1146,,https://pokeapi.co/api/v2/item/1146/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BACON,Berry-blending ingredient,item,1735,,https://pokeapi.co/api/v2/item/1735/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BAGUETTE,Berry-blending ingredient,item,1703,,https://pokeapi.co/api/v2/item/1703/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BANANA,Berry-blending ingredient,item,1751,,https://pokeapi.co/api/v2/item/1751/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BAND AUTOGRAPH,Unlocks progression content,item,1327,,https://pokeapi.co/api/v2/item/1327/,https://bulbapedia.bulbagarden.net/wiki/Band_Autograph,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BARRED CUP,Picnic item,item,2054,,https://pokeapi.co/api/v2/item/2054/,https://bulbapedia.bulbagarden.net/wiki/Barred_Cup,2,false,,,,needs_more_crossword_clues|duplicate_surface|needs_more_crossword_clues,"needs_more_crossword_clues, duplicate_surface, needs_more_crossword_clues",needs_review
BASEMENT KEY,Unlocks progression content,item,476,,https://pokeapi.co/api/v2/item/476/,https://bulbapedia.bulbagarden.net/wiki/Basement_Key,1,false,Opens Locked Doors In The Goldenrod Tunnel || Story or event key item,near_verbatim_source || answer_fragment_leak,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BASIL,Berry-blending ingredient,item,1761,,https://pokeapi.co/api/v2/item/1761/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BATHERS LAGOON,Hisui landmark,location,958,,https://pokeapi.co/api/v2/location/958/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BATTLE ARCADE,Sinnoh landmark,location,217,,https://pokeapi.co/api/v2/location/217/,https://bulbapedia.bulbagarden.net/wiki/Battle_Arcade,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BATTLE CASTLE,Sinnoh landmark,location,216,,https://pokeapi.co/api/v2/location/216/,https://bulbapedia.bulbagarden.net/wiki/Battle_Castle,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BATTLE FACTORY,Sinnoh landmark,location,215,,https://pokeapi.co/api/v2/location/215/,https://bulbapedia.bulbagarden.net/wiki/Battle_Factory,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BATTLE HALL,Sinnoh landmark,location,218,,https://pokeapi.co/api/v2/location/218/,https://bulbapedia.bulbagarden.net/wiki/Battle_Hall,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BATTLE PARK,Sinnoh landmark,location,213,,https://pokeapi.co/api/v2/location/213/,https://bulbapedia.bulbagarden.net/wiki/Battle_Park,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BATTLEGROUND,Sinnoh landmark,location,222,,https://pokeapi.co/api/v2/location/222/,https://bulbapedia.bulbagarden.net/wiki/Battleground,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BEACH GLASS,Valuable sellable loot,item,1028,,https://pokeapi.co/api/v2/item/1028/,https://bulbapedia.bulbagarden.net/wiki/Beach_Glass,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BEAT UP,Dark physical move,move,251,,https://pokeapi.co/api/v2/move/251/,https://bulbapedia.bulbagarden.net/wiki/Beat_Up_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BELLY DRUM,Normal status move,move,187,,https://pokeapi.co/api/v2/move/187/,https://bulbapedia.bulbagarden.net/wiki/Belly_Drum_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BERRY SWEET,Evolution-trigger item,item,1169,,https://pokeapi.co/api/v2/item/1169/,https://bulbapedia.bulbagarden.net/wiki/Berry_Sweet,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BESTOW,Normal status move,move,516,,https://pokeapi.co/api/v2/move/516/,https://bulbapedia.bulbagarden.net/wiki/Bestow_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BIG MALASADA,Gen VII status cures,item,888,,https://pokeapi.co/api/v2/item/888/,https://bulbapedia.bulbagarden.net/wiki/Big_Malasada,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BIG NUGGET,Valuable sellable loot,item,622,,https://pokeapi.co/api/v2/item/622/,https://bulbapedia.bulbagarden.net/wiki/Big_Nugget,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BIKE GREEN,Ride for quick travel,item,919,,https://pokeapi.co/api/v2/item/919/,,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BIKE YELLOW,Ride for quick travel,item,929,,https://pokeapi.co/api/v2/item/929/,,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BIRTH ISLAND,Kanto landmark,location,810,,https://pokeapi.co/api/v2/location/810/,https://bulbapedia.bulbagarden.net/wiki/Birth_Island,1,false,Kanto island || Island location,answer_fragment_leak || answer_fragment_leak,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BLACK,Route 15 tower,location,392,,https://pokeapi.co/api/v2/location/392/,https://bulbapedia.bulbagarden.net/wiki/Black_City,2,false,,,,needs_more_crossword_clues|weak_connections_descriptors|needs_more_crossword_clues,"needs_more_crossword_clues, weak_connections_descriptors, needs_more_crossword_clues",needs_review
BLACK APRICORN,Heavy Ball ingredient,item,464,,https://pokeapi.co/api/v2/item/464/,https://bulbapedia.bulbagarden.net/wiki/Black_Apricorn,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BLACK BELT,type enhancement,item,218,,https://pokeapi.co/api/v2/item/218/,https://bulbapedia.bulbagarden.net/wiki/Black_Belt,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BLACK FLUTE,Story or event key item,item,68,,https://pokeapi.co/api/v2/item/68/,https://bulbapedia.bulbagarden.net/wiki/Black_Flute,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BLACK HOLE,Space-Warping trait,ability,10048,,https://pokeapi.co/api/v2/ability/10048/,,3,false,,,,duplicate_surface,duplicate_surface,needs_review
BLUE APRICORN,Lure Ball ingredient,item,459,,https://pokeapi.co/api/v2/item/459/,https://bulbapedia.bulbagarden.net/wiki/Blue_Apricorn,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BLUE BOTTLE,Picnic item,item,2048,,https://pokeapi.co/api/v2/item/2048/,https://bulbapedia.bulbagarden.net/wiki/Blue_Bottle,2,false,,,,needs_more_crossword_clues|duplicate_surface|needs_more_crossword_clues,"needs_more_crossword_clues, duplicate_surface, needs_more_crossword_clues",needs_review
BLUE CUP,Picnic item,item,2058,,https://pokeapi.co/api/v2/item/2058/,https://bulbapedia.bulbagarden.net/wiki/Blue_Cup,2,false,,,,needs_more_crossword_clues|duplicate_surface|needs_more_crossword_clues,"needs_more_crossword_clues, duplicate_surface, needs_more_crossword_clues",needs_review
BLUE DISH,Picnic item,item,2094,,https://pokeapi.co/api/v2/item/2094/,https://bulbapedia.bulbagarden.net/wiki/Blue_Dish,2,false,,,,needs_more_crossword_clues|duplicate_surface|needs_more_crossword_clues,"needs_more_crossword_clues, duplicate_surface, needs_more_crossword_clues",needs_review
BLUE FLAG PICK,Picnic item,item,2039,,https://pokeapi.co/api/v2/item/2039/,,2,false,,,,needs_more_crossword_clues|duplicate_surface|needs_more_crossword_clues,"needs_more_crossword_clues, duplicate_surface, needs_more_crossword_clues",needs_review
BOBS FOOD TIN,Berry-blending ingredient,item,1145,,https://pokeapi.co/api/v2/item/1145/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BODYGUARD,Protective trait,ability,10027,,https://pokeapi.co/api/v2/ability/10027/,https://bulbapedia.bulbagarden.net/wiki/BodyGuard_(TCG),3,false,,,,duplicate_surface,duplicate_surface,needs_review
BOILED EGG,Berry-blending ingredient,item,1159,,https://pokeapi.co/api/v2/item/1159/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BONANZA,Windfall trait,ability,10044,,https://pokeapi.co/api/v2/ability/10044/,,3,false,,,,duplicate_surface,duplicate_surface,needs_review
BOOST MULCH,Dries soil in 4 hours,item,693,,https://pokeapi.co/api/v2/item/693/,https://bulbapedia.bulbagarden.net/wiki/Boost_Mulch,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BRAWLERS CAVE,Galar landmark,location,882,,https://pokeapi.co/api/v2/location/882/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BREAD,Berry-blending ingredient,item,1148,,https://pokeapi.co/api/v2/item/1148/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BRIDGE FIELD,Galar landmark,location,883,,https://pokeapi.co/api/v2/location/883/,https://bulbapedia.bulbagarden.net/wiki/Bridge_Field,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BRIGHT POWDER,Held battle item,item,190,,https://pokeapi.co/api/v2/item/190/,https://bulbapedia.bulbagarden.net/wiki/Bright_Powder,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BRITTLE BONES,Berry-blending ingredient,item,1154,,https://pokeapi.co/api/v2/item/1154/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BRONZE BOTTLE,Picnic item,item,2081,,https://pokeapi.co/api/v2/item/2081/,https://bulbapedia.bulbagarden.net/wiki/Bronze_Bottle,2,false,,,,needs_more_crossword_clues|duplicate_surface|needs_more_crossword_clues,"needs_more_crossword_clues, duplicate_surface, needs_more_crossword_clues",needs_review
BRONZE CUP,Picnic item,item,2083,,https://pokeapi.co/api/v2/item/2083/,https://bulbapedia.bulbagarden.net/wiki/Bronze_Cup,2,false,,,,needs_more_crossword_clues|duplicate_surface|needs_more_crossword_clues,"needs_more_crossword_clues, duplicate_surface, needs_more_crossword_clues",needs_review
BUG BITE,60-power move,move,450,,https://pokeapi.co/api/v2/move/450/,https://bulbapedia.bulbagarden.net/wiki/Bug_Bite_(move),1,false,Bug physical move || Gen IV Bug move,answer_fragment_leak || answer_fragment_leak,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BUG BUZZ,debuffing move,move,405,,https://pokeapi.co/api/v2/move/405/,https://bulbapedia.bulbagarden.net/wiki/Bug_Buzz_(move),2,false,Bug special move,answer_fragment_leak,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BUG GEM,Held battle item,item,601,,https://pokeapi.co/api/v2/item/601/,https://bulbapedia.bulbagarden.net/wiki/Bug_Gem,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BUG MEMORY,Species-linked power item,item,907,,https://pokeapi.co/api/v2/item/907/,https://bulbapedia.bulbagarden.net/wiki/Bug_Memory,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BUG TERA SHARD,Crafting or exchange material,item,1689,,https://pokeapi.co/api/v2/item/1689/,https://bulbapedia.bulbagarden.net/wiki/Bug_Tera_Shard,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
BUGINIUM Z BAG,unused,item,949,,https://pokeapi.co/api/v2/item/949/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
