answer,candidate_clue,source_type,source_id,source_ref,reasons
DARK,,type,17,https://pokeapi.co/api/v2/type/17/,missing_payload_or_builder_output
DAZE,,ability,10038,https://pokeapi.co/api/v2/ability/10038/,missing_payload_or_builder_output
FIRE,,type,10,https://pokeapi.co/api/v2/type/10/,missing_payload_or_builder_output
IRON,,item,47,https://pokeapi.co/api/v2/item/47/,missing_payload_or_builder_output
ROCK,,type,6,https://pokeapi.co/api/v2/type/6/,missing_payload_or_builder_output
TAPU,,location,759,https://pokeapi.co/api/v2/location/759/,missing_payload_or_builder_output
BLACK,,location,392,https://pokeapi.co/api/v2/location/392/,missing_payload_or_builder_output
BLAZE,,ability,66,https://pokeapi.co/api/v2/ability/66/,missing_payload_or_builder_output
FAIRY,,type,18,https://pokeapi.co/api/v2/type/18/,missing_payload_or_builder_output
FIGHT,Location: region Sinnoh; listed in Gen IV; 0 named areas; location index #185.,location,185,https://pokeapi.co/api/v2/location/185/,disallowed_pattern
GRASS,,type,12,https://pokeapi.co/api/v2/type/12/,missing_payload_or_builder_output
HOENN,,location,258,https://pokeapi.co/api/v2/location/258/,missing_payload_or_builder_output
HONEY,,item,94,https://pokeapi.co/api/v2/item/94/,missing_payload_or_builder_output
MALIE,Location: region Alola; 2 named areas; location index #1045.,location,1045,https://pokeapi.co/api/v2/location/1045/,disallowed_pattern
PRIMO,Location: region the Pokémon world; listed in Gen IV; 0 named areas; location index #343.,location,343,https://pokeapi.co/api/v2/location/343/,disallowed_pattern
RILEY,Location: region the Pokémon world; listed in Gen IV; 0 named areas; location index #262.,location,262,https://pokeapi.co/api/v2/location/262/,disallowed_pattern
STEEL,,type,9,https://pokeapi.co/api/v2/type/9/,missing_payload_or_builder_output
WATER,,type,11,https://pokeapi.co/api/v2/type/11/,missing_payload_or_builder_output
AZALEA,Location: region Johto; listed in Gen IV; 1 named area; location index #228.,location,228,https://pokeapi.co/api/v2/location/228/,disallowed_pattern
DRAGON,,type,16,https://pokeapi.co/api/v2/type/16/,missing_payload_or_builder_output
ETERNA,Location: region Sinnoh; listed in Gen IV; 2 named areas; location index #2.,location,2,https://pokeapi.co/api/v2/location/2/,disallowed_pattern
FLYING,,type,3,https://pokeapi.co/api/v2/type/3/,missing_payload_or_builder_output
